entity_id,acn,abn,entity_kind,created_at,arbn
3991,091979172,,company,2026-08-18 03:38:17.304061+00,
3992,626751620,,company,2026-08-18 03:38:17.304061+00,
3993,601048275,,company,2026-08-18 03:38:17.304061+00,
3994,002148361,,company,2026-08-18 03:38:17.304061+00,
3995,124408751,,company,2026-08-18 03:38:17.304061+00,
3996,644182883,,company,2026-08-18 03:38:17.304061+00,
3997,100727491,,company,2026-08-18 03:38:17.304061+00,
3998,060094742,,company,2026-08-18 03:38:17.304061+00,
3999,645324992,,company,2026-08-18 03:38:17.304061+00,
4000,654970751,,company,2026-08-18 03:38:17.304061+00,
4001,125049550,,company,2026-08-18 03:38:17.304061+00,
4002,090625353,,company,2026-08-18 03:38:17.304061+00,
4003,655732246,,company,2026-08-18 03:38:17.304061+00,
4004,164391128,,company,2026-08-18 03:38:17.304061+00,
4005,146935131,,company,2026-08-18 03:38:17.304061+00,
4006,009154349,,company,2026-08-18 03:38:17.304061+00,
4007,,,other,2026-08-18 03:38:17.304061+00,
4008,118896021,,company,2026-08-18 03:38:17.304061+00,
4009,648890126,,company,2026-08-18 03:38:17.304061+00,
4010,645218453,,company,2026-08-18 03:38:17.304061+00,
4011,613131141,,company,2026-08-18 03:38:17.304061+00,
4012,122957322,,company,2026-08-18 03:38:17.304061+00,
4013,004213692,,company,2026-08-18 03:38:17.304061+00,
4014,108146694,,company,2026-08-18 03:38:17.304061+00,
4015,052507507,,company,2026-08-18 03:38:17.304061+00,
4016,106282777,,company,2026-08-18 03:38:17.304061+00,
4017,603949739,,company,2026-08-18 03:38:17.304061+00,
4018,091687740,,company,2026-08-18 03:38:17.304061+00,
4019,074444018,,company,2026-08-18 03:38:17.304061+00,
4020,164301197,,company,2026-08-18 03:38:17.304061+00,
4021,119450243,,company,2026-08-18 03:38:17.304061+00,
4022,140087261,,company,2026-08-18 03:38:17.304061+00,
4023,101049334,,company,2026-08-18 03:38:17.304061+00,
4024,123123124,,company,2026-08-18 03:38:17.304061+00,
4025,626241067,,company,2026-08-18 03:38:17.304061+00,
4026,115465462,,company,2026-08-18 03:38:17.304061+00,
4027,115131667,,company,2026-08-18 03:38:17.304061+00,
4028,152189369,,company,2026-08-18 03:38:17.304061+00,
4029,107670673,,company,2026-08-18 03:38:17.304061+00,
4030,637559847,,company,2026-08-18 03:38:17.304061+00,
4031,150762351,,company,2026-08-18 03:38:17.304061+00,
4032,009237736,,company,2026-08-18 03:38:17.304061+00,
4033,619196539,,company,2026-08-18 03:38:17.304061+00,
4034,087822455,,company,2026-08-18 03:38:17.304061+00,
4035,061289218,,company,2026-08-18 03:38:17.304061+00,
4036,169441874,,company,2026-08-18 03:38:17.304061+00,
4037,092697151,,company,2026-08-18 03:38:17.304061+00,
4038,604797033,,company,2026-08-18 03:38:17.304061+00,
4039,069141546,,company,2026-08-18 03:38:17.304061+00,
4040,057569169,,company,2026-08-18 03:38:17.304061+00,
4041,,,other,2026-08-18 03:38:17.304061+00,
4042,,,other,2026-08-18 03:38:17.304061+00,
4043,,,other,2026-08-18 03:38:17.304061+00,
4044,007590605,,company,2026-08-18 03:38:17.304061+00,
4045,108649421,,company,2026-08-18 03:38:17.304061+00,
4046,112870096,,company,2026-08-18 03:38:17.304061+00,
4047,627359166,,company,2026-08-18 03:38:17.304061+00,
4048,,,other,2026-08-18 03:38:17.304061+00,
4049,600818157,,company,2026-08-18 03:38:17.304061+00,
4050,116095802,,company,2026-08-18 03:38:17.304061+00,
4051,628881603,,company,2026-08-18 03:38:17.304061+00,
4052,123591382,,company,2026-08-18 03:38:17.304061+00,
4053,,,foreign,2026-08-18 03:38:17.304061+00,080480477
4054,098238585,,company,2026-08-18 03:38:17.304061+00,
4055,097247464,,company,2026-08-18 03:38:17.304061+00,
4056,106842371,,company,2026-08-18 03:38:17.304061+00,
4057,083090895,,company,2026-08-18 03:38:17.304061+00,
4058,122958810,,company,2026-08-18 03:38:17.304061+00,
4059,090975723,,company,2026-08-18 03:38:17.304061+00,
4060,,,other,2026-08-18 03:38:17.304061+00,
4061,,,foreign,2026-08-18 03:38:17.304061+00,692999929
4062,647333962,,company,2026-08-18 03:38:17.304061+00,
4063,638835828,,company,2026-08-18 03:38:17.304061+00,
4064,116648956,,company,2026-08-18 03:38:17.304061+00,
4065,646203465,,company,2026-08-18 03:38:17.304061+00,
4066,656965589,,company,2026-08-18 03:38:17.304061+00,
4067,,,other,2026-08-18 03:38:17.304061+00,
4068,000020262,,company,2026-08-18 03:38:17.304061+00,
4069,,,other,2026-08-18 03:38:17.304061+00,
4070,067185899,,company,2026-08-18 03:38:17.304061+00,
4071,082541437,,company,2026-08-18 03:38:17.304061+00,
4072,151420781,,company,2026-08-18 03:38:17.304061+00,
