entity_id,listed_from,listed_to,delist_reason,source_doc_id,source_load_id
4226,2021-11-24,,,,4
4227,2020-09-25,,,,4
4228,1993-04-22,,,,4
4229,2014-08-14,,,,4
4230,1986-03-13,,,,4
4231,1986-02-05,,,,4
4232,2006-06-06,,,,4
4233,2004-06-25,,,,4
4234,2021-06-24,,,,4
4235,2011-09-16,,,,4
4236,2008-05-16,,,,4
4237,2007-07-31,,,,4
4238,2023-04-11,,,,4
4239,2026-02-26,,,,4
4240,2004-04-30,,,,4
4241,2004-07-01,,,,4
4242,1981-02-12,,,,4
4243,2010-10-29,,,,4
4244,1992-10-22,,,,4
4245,2006-07-28,,,,4
4246,2010-12-17,,,,4
4247,1985-10-23,,,,4
4248,1981-06-30,,,,4
4249,2017-06-08,,,,4
4250,2009-12-23,,,,4
4251,2004-03-30,,,,4
4252,2018-03-16,,,,4
4253,2018-08-29,,,,4
4254,2021-10-13,,,,4
4255,1974-01-01,,,,4
4256,2006-10-18,,,,4
4257,2020-02-12,,,,4
4258,2005-09-09,,,,4
4259,2012-07-19,,,,4
4260,2006-01-18,,,,4
4261,2018-10-02,,,,4
4262,1987-06-05,,,,4
4263,1994-07-22,,,,4
4264,2010-10-26,,,,4
4265,2008-02-27,,,,4
4266,2018-12-13,,,,4
4267,2023-12-19,,,,4
4268,2018-12-18,,,,4
4269,2006-03-24,,,,4
4270,2007-06-20,,,,4
4271,2007-04-13,,,,4
4272,2007-01-15,,,,4
4273,2000-10-23,,,,4
4274,2025-12-01,,,,4
4275,2011-02-17,,,,4
4276,2017-05-04,,,,4
4277,2021-05-12,,,,4
4278,2010-02-23,,,,4
4279,2006-06-06,,,,4
4280,1985-08-06,,,,4
4281,2025-12-18,,,,4
4282,1987-05-14,,,,4
4283,1980-11-19,,,,4
4284,2020-09-18,,,,4
4285,2020-12-04,,,,4
4286,2006-03-29,,,,4
4287,2007-02-01,,,,4
4288,2012-09-07,,,,4
4289,2012-05-09,,,,4
4290,2006-06-20,,,,4
4291,2010-12-02,,,,4
4292,2021-11-16,,,,4
4293,2025-09-23,,,,4
4294,2004-04-08,,,,4
4295,2018-01-19,,,,4
4296,2002-08-20,,,,4
4297,2014-12-05,,,,4
4298,1994-12-07,,,,4
4299,1962-06-30,,,,4
4300,1985-04-26,,,,4
4301,1988-12-08,,,,4
4302,2018-01-08,,,,4
4303,2015-03-27,,,,4
4304,2004-07-19,,,,4
4305,2007-01-03,,,,4
4306,1987-10-12,,,,4
4307,1971-08-02,,,,4
4308,2021-03-03,,,,4
4309,2021-12-22,,,,4
4310,1986-01-23,,,,4
4311,1970-01-01,,,,4
4312,2001-02-08,,,,4
4313,2001-03-26,,,,4
4314,2023-11-30,,,,4
4315,2019-08-16,,,,4
4316,2011-05-11,,,,4
4317,2026-07-09,,,,4
4318,2022-04-08,,,,4
4319,2016-08-26,,,,4
4320,2022-03-28,,,,4
4321,2013-04-30,,,,4
4322,2008-08-04,,,,4
4323,1995-11-23,,,,4
4324,1987-01-15,,,,4
4325,2005-09-21,,,,4
4326,2021-06-17,,,,4
4327,2015-09-10,,,,4
4328,1999-01-05,,,,4
4329,1994-08-08,,,,4
4330,1997-03-06,,,,4
4331,2009-12-18,,,,4
4332,2017-01-16,,,,4
4333,2015-02-09,,,,4
4334,1989-11-02,,,,4
4335,2000-02-21,,,,4
4336,2007-12-18,,,,4
4337,2020-10-08,,,,4
4338,2013-11-15,,,,4
4339,1995-12-01,,,,4
4340,2021-01-12,,,,4
4341,2007-08-16,,,,4
4342,1987-03-19,,,,4
4343,2000-09-13,,,,4
4344,2013-10-08,,,,4
4345,2010-11-30,,,,4
4346,2001-08-08,,,,4
4347,2024-04-12,,,,4
4348,2006-12-21,,,,4
4349,2021-06-07,,,,4
4350,2017-03-22,,,,4
4351,2001-11-21,,,,4
4352,2015-04-22,,,,4
4353,2021-03-18,,,,4
4354,2022-01-28,,,,4
4355,1994-08-05,,,,4
4356,1997-12-19,,,,4
4357,2021-09-30,,,,4
4358,2023-09-14,,,,4
4359,2015-06-16,,,,4
4360,2001-01-11,,,,4
4361,2000-12-20,,,,4
4362,2021-04-21,,,,4
4363,2024-11-22,,,,4
4364,2003-04-09,,,,4
4365,1987-04-15,,,,4
4366,2022-01-31,,,,4
4367,1998-03-04,,,,4
4368,2010-08-05,,,,4
4369,1986-07-17,,,,4
4370,2021-08-06,,,,4
4371,1967-09-21,,,,4
4372,2017-06-19,,,,4
4373,1986-06-30,,,,4
